disease,exposure
angina,1_Hydroxynaphthalene
angina,1_Hydroxyphenanthrene
angina,1_Hydroxypyrene
angina,22DCVMA
angina,23_Hydroxyphenanthrene
angina,2_Hydroxyfluorene
angina,3HPMA
angina,3_Hydroxyfluorene
angina,AAMA
angina,AMCC
angina,ATCA
angina,Acrylamide
angina,Antimony
angina,BMA
angina,BPMA
angina,CEMA
angina,CYMA
angina,Cadmium
angina,Cesium
angina,DHBMA
angina,Ethylene_Oxide
angina,Formaldehyde
angina,GAMA
angina,Glycidamide
angina,HEMA
angina,HPMMA
angina,Lead
angina,MA
angina,MHBMA2
angina,MHBMA3
angina,Manganese
angina,Mercury
angina,Molybdenum
angina,PGA
angina,PHEMA
angina,PMA
angina,Serum_Copper
angina,Serum_Selenium
angina,TNE2
angina,Thallium
angina,Tin
angina,Total_Cotinine
angina,Total_Hydroxycotinine
angina,Tungsten
angina,thiocyanate
arthritis,1_Hydroxynaphthalene
arthritis,22DCVMA
arthritis,2HPMA
arthritis,2MHA
arthritis,2_Hydroxyfluorene
arthritis,2_Hydroxynaphthalene
arthritis,3&4MHA
arthritis,3HPMA
arthritis,3_Hydroxyfluorene
arthritis,AAMA
arthritis,AMCC
arthritis,ATCA
arthritis,Acrylamide
arthritis,BMA
arthritis,CEMA
arthritis,CYMA
arthritis,Cesium
arthritis,DHBMA
arthritis,Ethylene_Oxide
arthritis,Formaldehyde
arthritis,GAMA
arthritis,Glycidamide
arthritis,HEMA
arthritis,HPMMA
arthritis,Iodine
arthritis,Lead
arthritis,MHBMA2
arthritis,MHBMA3
arthritis,Manganese
arthritis,Mercury
arthritis,Molybdenum
arthritis,PHEMA
arthritis,PMA
arthritis,Serum_Copper
arthritis,Serum_Selenium
arthritis,Strontium
arthritis,TNE2
arthritis,Tin
arthritis,Total_Cotinine
arthritis,Total_Hydroxycotinine
arthritis,Tungsten
arthritis,nitrate
arthritis,thiocyanate
asthma,1_Hydroxynaphthalene
asthma,1_Hydroxyphenanthrene
asthma,1_Hydroxypyrene
asthma,22DCVMA
asthma,2HPMA
asthma,2MHA
asthma,2_Hydroxyfluorene
asthma,3&4MHA
asthma,3HPMA
asthma,3_Hydroxyfluorene
asthma,AAMA
asthma,AMCC
asthma,Acrylamide
asthma,BMA
asthma,CEMA
asthma,CYMA
asthma,Cesium
asthma,DHBMA
asthma,Ethylene_Oxide
asthma,Formaldehyde
asthma,GAMA
asthma,Glycidamide
asthma,HEMA
asthma,HPMMA
asthma,Iodine
asthma,Lead
asthma,MHBMA2
asthma,MHBMA3
asthma,Manganese
asthma,Mercury
asthma,Molybdenum
asthma,PHEMA
asthma,PMA
asthma,Serum_Copper
asthma,Serum_Selenium
asthma,Serum_Zinc
asthma,TNE2
asthma,Tin
asthma,Total_Cotinine
asthma,Total_Hydroxycotinine
asthma,Tungsten
asthma,Uranium
asthma,thiocyanate
attention_disorder,1_Hydroxynaphthalene
attention_disorder,22DCVMA
attention_disorder,2_Hydroxyfluorene
attention_disorder,2_Hydroxynaphthalene
attention_disorder,3HPMA
attention_disorder,3_Hydroxyfluorene
attention_disorder,AAMA
attention_disorder,ATCA
attention_disorder,Antimony
attention_disorder,BMA
attention_disorder,BPMA
attention_disorder,CEMA
attention_disorder,CYMA
attention_disorder,Cadmium
attention_disorder,Cobalt
attention_disorder,DHBMA
attention_disorder,Ethylene_Oxide
attention_disorder,Formaldehyde
attention_disorder,GAMA
attention_disorder,Glycidamide
attention_disorder,HEMA
attention_disorder,HPMMA
attention_disorder,Iodine
attention_disorder,MA
attention_disorder,MHBMA2
attention_disorder,MHBMA3
attention_disorder,Manganese
attention_disorder,Mercury
attention_disorder,Molybdenum
attention_disorder,PGA
attention_disorder,PHEMA
attention_disorder,PMA
attention_disorder,Serum_Zinc
attention_disorder,TNE2
attention_disorder,Thallium
attention_disorder,Tin
attention_disorder,Total_Cotinine
attention_disorder,Total_Hydroxycotinine
attention_disorder,Tungsten
attention_disorder,Uranium
attention_disorder,thiocyanate
chronic_bronchitis,1_Hydroxynaphthalene
chronic_bronchitis,1_Hydroxyphenanthrene
chronic_bronchitis,1_Hydroxypyrene
chronic_bronchitis,22DCVMA
chronic_bronchitis,23_Hydroxyphenanthrene
chronic_bronchitis,2HPMA
chronic_bronchitis,2MHA
chronic_bronchitis,2_Hydroxyfluorene
chronic_bronchitis,2_Hydroxynaphthalene
chronic_bronchitis,3&4MHA
chronic_bronchitis,3HPMA
chronic_bronchitis,3_Hydroxyfluorene
chronic_bronchitis,AAMA
chronic_bronchitis,AMCC
chronic_bronchitis,Acrylamide
chronic_bronchitis,Antimony
chronic_bronchitis,BMA
chronic_bronchitis,CEMA
chronic_bronchitis,CYMA
chronic_bronchitis,Cadmium
chronic_bronchitis,Cesium
chronic_bronchitis,Cobalt
chronic_bronchitis,DHBMA
chronic_bronchitis,Ethylene_Oxide
chronic_bronchitis,GAMA
chronic_bronchitis,Glycidamide
chronic_bronchitis,HEMA
chronic_bronchitis,HPMMA
chronic_bronchitis,Iodine
chronic_bronchitis,MA
chronic_bronchitis,MHBMA2
chronic_bronchitis,MHBMA3
chronic_bronchitis,Manganese
chronic_bronchitis,Mercury
chronic_bronchitis,Molybdenum
chronic_bronchitis,PGA
chronic_bronchitis,PHEMA
chronic_bronchitis,PMA
chronic_bronchitis,Serum_Copper
chronic_bronchitis,Serum_Zinc
chronic_bronchitis,TNE2
chronic_bronchitis,Tin
chronic_bronchitis,Total_Cotinine
chronic_bronchitis,Total_Hydroxycotinine
chronic_bronchitis,Tungsten
chronic_bronchitis,thiocyanate
COPD,1_Hydroxynaphthalene
COPD,1_Hydroxyphenanthrene
COPD,1_Hydroxypyrene
COPD,22DCVMA
COPD,23_Hydroxyphenanthrene
COPD,2HPMA
COPD,2MHA
COPD,2_Hydroxyfluorene
COPD,2_Hydroxynaphthalene
COPD,3&4MHA
COPD,3HPMA
COPD,3_Hydroxyfluorene
COPD,AAMA
COPD,AMCC
COPD,ATCA
COPD,Acrylamide
COPD,Antimony
COPD,CEMA
COPD,CYMA
COPD,Cadmium
COPD,DHBMA
COPD,Ethylene_Oxide
COPD,GAMA
COPD,Glycidamide
COPD,HEMA
COPD,HPMMA
COPD,Lead
COPD,MA
COPD,MHBMA2
COPD,MHBMA3
COPD,Manganese
COPD,Mercury
COPD,Molybdenum
COPD,PGA
COPD,PHEMA
COPD,PMA
COPD,Serum_Copper
COPD,Serum_Zinc
COPD,TNE2
COPD,Thallium
COPD,Tin
COPD,Total_Cotinine
COPD,Total_Hydroxycotinine
COPD,Tungsten
COPD,Uranium
COPD,perchlorate
COPD,thiocyanate
diabetes,1_Hydroxyphenanthrene
diabetes,22DCVMA
diabetes,2MHA
diabetes,2_Hydroxyfluorene
diabetes,3&4MHA
diabetes,3HPMA
diabetes,3_Hydroxyfluorene
diabetes,AAMA
diabetes,ATCA
diabetes,Acrylamide
diabetes,Antimony
diabetes,Barium
diabetes,CYMA
diabetes,Cesium
diabetes,GAMA
diabetes,Glycidamide
diabetes,HEMA
diabetes,HPMMA
diabetes,Lead
diabetes,MHBMA2
diabetes,Manganese
diabetes,Mercury
diabetes,Molybdenum
diabetes,PGA
diabetes,PHEMA
diabetes,PMA
diabetes,Serum_Copper
diabetes,Serum_Selenium
diabetes,Serum_Zinc
diabetes,Strontium
diabetes,Tin
diabetes,Total_Cotinine
diabetes,Tungsten
diabetes,Uranium
diabetes,nitrate
diabetes,perchlorate
diabetes,thiocyanate
emphysema,1_Hydroxynaphthalene
emphysema,1_Hydroxyphenanthrene
emphysema,1_Hydroxypyrene
emphysema,22DCVMA
emphysema,23_Hydroxyphenanthrene
emphysema,2HPMA
emphysema,2MHA
emphysema,2_Hydroxyfluorene
emphysema,2_Hydroxynaphthalene
emphysema,3&4MHA
emphysema,3HPMA
emphysema,3_Hydroxyfluorene
emphysema,AAMA
emphysema,AMCC
emphysema,ATCA
emphysema,Acrylamide
emphysema,BMA
emphysema,CEMA
